question_no,question,cluster,similarity.to.cluster.centre,Var1,SubjectQ,ItemCode,Scale,Subject,Wave,ScaleItem,QCode1,value
77. ,Spend time reflecting on things,4,0.5194272183736627,SpendTimeReflectingOnThings,FaQ01,FF524,IPIP,Father,Q01,IPIP45,FF,0.519
78. ,Am quiet around strangers,4,0.4447517205694765,AmQuietAroundStrangers,FaQ01,FF525,IPIP,Father,Q01,IPIP46,FF,0.445
79. ,Make people feel at ease,3,0.5131729749813222,MakePeopleFeelAtEase,FaQ01,FF526,IPIP,Father,Q01,IPIP47,FF,0.513
80. ,Am exacting in my work,4,0.3975069188109321,AmExactingInMyWork,FaQ01,FF527,IPIP,Father,Q01,IPIP48,FF,0.398
81. ,Often feel blue,0,0.5971009959309617,OftenFeelBlue,FaQ01,FF528,IPIP,Father,Q01,IPIP49,FF,0.597
82. ,Am full of ideas,4,0.5678115506652223,AmFullOfIdeas,FaQ01,FF529,IPIP,Father,Q01,IPIP50,FF,0.568
83. ,How often do you have trouble wrapping up the final details of a projectonce the challenging parts have been done,4,0.3812586232500174,HowOftenDoYouHaveTroubleWrappingUpTheFinalDetailsOfAProjectonceTheChallengingPartsHaveBeenDone,FaQ01,FF535,ASRS,Father,Q01,ASRS01,FF,0.381
84. ,How often do you have difficulty getting things in order when you have to do a task that requires organisation,4,0.5011596929984123,HowOftenDoYouHaveDifficultyGettingThingsInOrderWhenYouHaveToDoATaskThatRequiresOrganisation,FaQ01,FF536,ASRS,Father,Q01,ASRS02,FF,0.501
85. ,When you have a task that requires a lot of thought how often do you avoid or delay getting started,4,0.4983552985331838,WhenYouHaveATaskThatRequiresALotOfThoughtHowOftenDoYouAvoidOrDelayGettingStarted,FaQ01,FF537,ASRS,Father,Q01,ASRS03,FF,0.498
86. ,How often do you have problems remembering appointments or obligations,2,0.475200622004313,HowOftenDoYouHaveProblemsRememberingAppointmentsOrObligations,FaQ01,FF538,ASRS,Father,Q01,ASRS04,FF,0.475
87. ,How often do you fidget or squirm with your hands or feet when you have to sit down for a long time,2,0.4060048838362498,HowOftenDoYouFidgetOrSquirmWithYourHandsOrFeetWhenYouHaveToSitDownForALongTime,FaQ01,FF539,ASRS,Father,Q01,ASRS05,FF,0.406
88. ,How often do you feel overly active and compelled to do things like you were driven by a motor,0,0.4778881994180078,HowOftenDoYouFeelOverlyActiveAndCompelledToDoThingsLikeYouWereDrivenByAMotor,FaQ01,FF540,ASRS,Father,Q01,ASRS06,FF,0.478
89. ,Serious concerns that something is wrong with the bay you are expecting,2,0.37720931368606025,SeriousConcernsThatSomethingIsWrongWithTheBayYouAreExpecting,FaQ01,FF544,AdLifEv,Father,Q01,AdLifEv07,FF,0.377
90. ,Serious personal ill or injured,2,0.5958751598940852,SeriousPersonalIllOrInjured,FaQ01,FF545,AdLifEv,Father,Q01,AdLifEv08,FF,0.596
91. ,Close relative has been seriously ill or injured,2,0.5062315019798005,CloseRelativeHasBeenSeriouslyIllOrInjured,FaQ01,FF546,AdLifEv,Father,Q01,AdLifEv09,FF,0.506
92. ,Involved in a serious traffic accident fire or robbery,2,0.44988603494766816,InvolvedInASeriousTrafficAccidentFireOrRobbery,FaQ01,FF547,AdLifEv,Father,Q01,AdLifEv10,FF,0.45
93. ,Forced into sexual activity,4,0.26828145976037315,ForcedIntoSexualActivity,FaQ01,FF548,AdLifEv,Father,Q01,AdLifEv11,FF,0.268
94. ,Exposed to physical violence,2,0.41508041656761857,ExposedToPhysicalViolence,FaQ01,FF549,AdLifEv,Father,Q01,AdLifEv12,FF,0.415
95. ,Other,4,0.520516987402457,Other,FaQ01,FF289,AdLifEv,Father,Q01,AdLifEv13,FF,0.521
