Index,QuestionSummary,Wave,QuestionPart1,QuestionPart2,Responses,ItemCode,Subject,Scale,Subscale,ScaleItem,Domain,ScaleName,MoBaQ,TimePoint,QCode,Rater,Timing,QuestionParentheses
1812,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months doesnt feel guilty misbehaving,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Doesnt seem to feel guilty after misbehaving,Not true;Somewhat or sometimes true;Very true or often true,GG324,Child,CBCL,Externalizing,CBCL27,Behaviour,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1814,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months eats drinks food dont include sweets,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Eats or drinks things that are not food dont include sweets,Not true;Somewhat or sometimes true;Very true or often true,GG325,Child,CBCL,"",CBCL31,General,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1815,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months fights,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Gets in many fights,Not true;Somewhat or sometimes true;Very true or often true,GG326,Child,CBCL,Externalizing,CBCL35,Behaviour,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1817,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Gets into everything,Not true;Somewhat or sometimes true;Very true or often true,GG327,Child,CBCL,Adhd,CBCL36,ADHD,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1819,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months upset separated parents,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Gets too upset when separated from parents,Not true;Somewhat or sometimes true;Very true or often true,GG328,Child,CBCL,Internalizing,CBCL37,Emotion,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1821,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months hits,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Hits others,Not true;Somewhat or sometimes true;Very true or often true,GG329,Child,CBCL,Externalizing,CBCL40,Behaviour,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1823,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months poorly coordinated clumsy,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Poorly coordinated or clumsy,Not true;Somewhat or sometimes true;Very true or often true,GG330,Child,CBCL,Externalizing,CBCL56,Behaviour,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1825,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months punishment doesnt change behavior,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Punishment doesnt change their behavior,Not true;Somewhat or sometimes true;Very true or often true,GG331,Child,CBCL,Externalizing,CBCL58,Behaviour,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1827,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months quickly shifts activity,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Quickly shifts from one activity to another,Not true;Somewhat or sometimes true;Very true or often true,GG332,Child,CBCL,Adhd,CBCL59,ADHD,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1830,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months resists bed night,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Resists going to bed at night,Not true;Somewhat or sometimes true;Very true or often true,GG333,Child,CBCL,"",CBCL64,General,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1831,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months stomach aches cramps medical,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Stomach aches or cramps without medical cause,Not true;Somewhat or sometimes true;Very true or often true,GG334,Child,CBCL,Internalizing,CBCL78,Emotion,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1833,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months sudden moods feelings,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Sudden changes in moods or feelings,Not true;Somewhat or sometimes true;Very true or often true,GG335,Child,CBCL,Internalizing,CBCL79,Emotion,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1835,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months fearful anxious,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Too fearful or anxious,Not true;Somewhat or sometimes true;Very true or often true,GG336,Child,CBCL,Internalizing,CBCL87,Emotion,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1837,List statements describing childrens behavior manner age 2 3 features temporary continue period time extent statements true childs behavior months vomiting throwing medical,Q06,The following list contains statements describing childrens behavior and manner from the age of 2 3 some of these features are temporary while others continue for a longer period of time to what extent are the following statements true of your childs behavior during the last two months,Vomiting throwing up without medical cause,Not true;Somewhat or sometimes true;Very true or often true,GG337,Child,CBCL,Internalizing,CBCL93,Emotion,ChildBehaviourCheckList,Q63yrs,Ch03Y,GG,Mother,During the last two months,""
1969,Feeling agitation restlessness trouble wrapping final details project,Q06,Feeling of agitation and restlessness,How often do you have trouble wrapping up the final details of a project,Never;Rarely;Sometimes;Often;Very often,GG503,Mother,ASRS,"",ASRS01,ADHD,AdultADHDSelfReportScale,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross in a box for the items that apply to you best during the last 6 months
1971,Feeling agitation restlessness difficulty,Q06,Feeling of agitation and restlessness,How often do you have difficulty getting things in order when you have to do,Never;Rarely;Sometimes;Often;Very often,GG504,Mother,ASRS,"",ASRS02,ADHD,AdultADHDSelfReportScale,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross in a box for the items that apply to you best during the last 6 months
1973,Feeling agitation restlessness task requires lot avoid,Q06,Feeling of agitation and restlessness,When you have a task that requires a lot of thought how often do you avoid,Never;Rarely;Sometimes;Often;Very often,GG505,Mother,ASRS,"",ASRS03,ADHD,AdultADHDSelfReportScale,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross in a box for the items that apply to you best during the last 6 months
1975,Feeling agitation restlessness remembering appointments obligations,Q06,Feeling of agitation and restlessness,How often do you have problems remembering appointments or obligations,Never;Rarely;Sometimes;Often;Very often,GG506,Mother,ASRS,"",ASRS04,ADHD,AdultADHDSelfReportScale,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross in a box for the items that apply to you best during the last 6 months
1977,Feeling agitation restlessness fidget squirm hands feet,Q06,Feeling of agitation and restlessness,How often do you fidget or squirm with your hands or feet when you have to,Never;Rarely;Sometimes;Often;Very often,GG507,Mother,ASRS,"",ASRS05,ADHD,AdultADHDSelfReportScale,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross in a box for the items that apply to you best during the last 6 months
1979,Feeling agitation restlessness feel overly active compelled,Q06,Feeling of agitation and restlessness,How often do you feel overly active and compelled to do things like you,Never;Rarely;Sometimes;Often;Very often,GG508,Mother,ASRS,"",ASRS06,ADHD,AdultADHDSelfReportScale,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross in a box for the items that apply to you best during the last 6 months
1981,Bothered weeks feeling fearful,Q06,Have you been bothered by any of the following during the last two weeks,Feeling fearful,Not bothered;A little bothered;Quite bothered;Very bothered,GG514,Mother,SCL,"",SCL01,Emotion,TheHopkinsSymptomsChecklist,Q63yrs,Ch03Y,GG,Mother,Last two weeks,""
1983,Bothered weeks nervousness shakiness inside,Q06,Have you been bothered by any of the following during the last two weeks,Nervousness or shakiness inside,Not bothered;A little bothered;Quite bothered;Very bothered,GG515,Mother,SCL,"",SCL02,Emotion,TheHopkinsSymptomsChecklist,Q63yrs,Ch03Y,GG,Mother,Last two weeks,""
1985,Bothered weeks feeling hopeless future,Q06,Have you been bothered by any of the following during the last two weeks,Feeling hopeless about the future,Not bothered;A little bothered;Quite bothered;Very bothered,GG516,Mother,SCL,"",SCL03,Emotion,TheHopkinsSymptomsChecklist,Q63yrs,Ch03Y,GG,Mother,Last two weeks,""
1987,Bothered weeks feeling blue,Q06,Have you been bothered by any of the following during the last two weeks,Feeling blue,Not bothered;A little bothered;Quite bothered;Very bothered,GG517,Mother,SCL,"",SCL04,Emotion,TheHopkinsSymptomsChecklist,Q63yrs,Ch03Y,GG,Mother,Last two weeks,""
1989,Bothered weeks worrying,Q06,Have you been bothered by any of the following during the last two weeks,Worrying too much about things,Not bothered;A little bothered;Quite bothered;Very bothered,GG518,Mother,SCL,"",SCL05,Emotion,TheHopkinsSymptomsChecklist,Q63yrs,Ch03Y,GG,Mother,Last two weeks,""
1991,Bothered weeks feeling effort,Q06,Have you been bothered by any of the following during the last two weeks,Feeling everything is an effort,Not bothered;A little bothered;Quite bothered;Very bothered,GG519,Mother,SCL,"",SCL06,Emotion,TheHopkinsSymptomsChecklist,Q63yrs,Ch03Y,GG,Mother,Last two weeks,""
1993,Bothered weeks feeling tense keyed,Q06,Have you been bothered by any of the following during the last two weeks,Feeling tense or keyed up,Not bothered;A little bothered;Quite bothered;Very bothered,GG520,Mother,SCL,"",SCL07,Emotion,TheHopkinsSymptomsChecklist,Q63yrs,Ch03Y,GG,Mother,Last two weeks,""
1995,Bothered weeks suddenly scared reason,Q06,Have you been bothered by any of the following during the last two weeks,Suddenly scared for no reason,Not bothered;A little bothered;Quite bothered;Very bothered,GG521,Mother,SCL,"",SCL08,Emotion,TheHopkinsSymptomsChecklist,Q63yrs,Ch03Y,GG,Mother,Last two weeks,""
1997,Daily life experience feel glad,Q06,In your daily life how often do you experience the following,Feel glad about something,Rarely or never;Hardly ever;Sometimes;Often;Very often,GG600,Mother,DES,Enjoyment,DES01,Emotion,DifferentialEmotionalScale,Q63yrs,Ch03Y,GG,Mother,"",""
1998,Daily life experience feel happy,Q06,In your daily life how often do you experience the following,Feel happy,Rarely or never;Hardly ever;Sometimes;Often;Very often,GG601,Mother,DES,Enjoyment,DES02,Emotion,DifferentialEmotionalScale,Q63yrs,Ch03Y,GG,Mother,"",""
1999,Daily life experience feel joyful rosy,Q06,In your daily life how often do you experience the following,Feel joyful like everything is going your way everything is rosy,Rarely or never;Hardly ever;Sometimes;Often;Very often,GG602,Mother,DES,Enjoyment,DES03,Emotion,DifferentialEmotionalScale,Q63yrs,Ch03Y,GG,Mother,"",""
2000,Daily life experience feel screaming banging,Q06,In your daily life how often do you experience the following,Feel like screaming at somebody or banging on something,Rarely or never;Hardly ever;Sometimes;Often;Very often,GG603,Mother,DES,Anger,DES04,Emotion,DifferentialEmotionalScale,Q63yrs,Ch03Y,GG,Mother,"",""
2001,Daily life experience feel angry irritated annoyed,Q06,In your daily life how often do you experience the following,Feel angry irritated annoyed,Rarely or never;Hardly ever;Sometimes;Often;Very often,GG604,Mother,DES,Anger,DES05,Emotion,DifferentialEmotionalScale,Q63yrs,Ch03Y,GG,Mother,"",""
2002,Daily life experience feel mad,Q06,In your daily life how often do you experience the following,Feel mad at somebody,Rarely or never;Hardly ever;Sometimes;Often;Very often,GG605,Mother,DES,Anger,DES06,Emotion,DifferentialEmotionalScale,Q63yrs,Ch03Y,GG,Mother,"",""
2003,Agree disagree statements life close ideal,Q06,Do you agree or disagree with the following statements,In most ways my life is close to my ideal,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,GG606,Mother,SWLS,"",SWLS01,Life satisfaction,TheSatisfactionWithLifeScale,Q63yrs,Ch03Y,GG,Mother,"",""
2004,Agree disagree statements conditions life excellent,Q06,Do you agree or disagree with the following statements,The conditions of my life are excellent,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,GG607,Mother,SWLS,"",SWLS02,Life satisfaction,TheSatisfactionWithLifeScale,Q63yrs,Ch03Y,GG,Mother,"",""
2005,Agree disagree statements satisfied life,Q06,Do you agree or disagree with the following statements,I am satisfied with my life,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,GG608,Mother,SWLS,"",SWLS03,Life satisfaction,TheSatisfactionWithLifeScale,Q63yrs,Ch03Y,GG,Mother,"",""
2006,Agree disagree statements life,Q06,Do you agree or disagree with the following statements,So far i have gotten the important things i want in life,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,GG609,Mother,SWLS,"",SWLS04,Life satisfaction,TheSatisfactionWithLifeScale,Q63yrs,Ch03Y,GG,Mother,"",""
2007,Agree disagree statements live life change,Q06,Do you agree or disagree with the following statements,If i could live my life over i would change almost nothing,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,GG610,Mother,SWLS,"",SWLS05,Life satisfaction,TheSatisfactionWithLifeScale,Q63yrs,Ch03Y,GG,Mother,"",""
2008,Feel positive attitude,Q06,How do you feel about yourself,I have a positive attitude toward myself,Agree completely;Agree;Disagree;Disagree completely,GG612,Mother,RSES,"",RSES01,Self esteem,TheRosenbergSelfEsteemScale,Q63yrs,Ch03Y,GG,Mother,"",""
2009,Feel feel completely useless times,Q06,How do you feel about yourself,I feel completely useless at times,Agree completely;Agree;Disagree;Disagree completely,GG613,Mother,RSES,"",RSES02,Self esteem,TheRosenbergSelfEsteemScale,Q63yrs,Ch03Y,GG,Mother,"",""
2010,Feel feel proud,Q06,How do you feel about yourself,I feel that i do not have much to be proud about,Agree completely;Agree;Disagree;Disagree completely,GG614,Mother,RSES,"",RSES03,Self esteem,TheRosenbergSelfEsteemScale,Q63yrs,Ch03Y,GG,Mother,"",""
2011,Feel feel valuable person,Q06,How do you feel about yourself,I feel that i am a valuable person as good as anyone else,Agree completely;Agree;Disagree;Disagree completely,GG615,Mother,RSES,"",RSES04,Self esteem,TheRosenbergSelfEsteemScale,Q63yrs,Ch03Y,GG,Mother,"",""
2012,Bringing child effect childs behaviour,Q06,Bringing up your child,What i do has little effect on my childs behaviour,Totally disagree;Partially disagree;Neither nor;Partially agree;Totally agree,GG616,Mother,PLOC,"",PLOC01,Personality,ParentalLocusofControl,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross to indicate whether you agree or disagree with the following statements
2013,Bringing child child refuse,Q06,Bringing up your child,My child is used to getting what he or she wants in any case so theres no point in even trying to refuse him or her,Totally disagree;Partially disagree;Neither nor;Partially agree;Totally agree,GG617,Mother,PLOC,"",PLOC02,Personality,ParentalLocusofControl,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross to indicate whether you agree or disagree with the following statements
2014,Bringing child cuddles hugs child love,Q06,Bringing up your child,Cuddles and hugs are an important way of showing my child that i love him or her,Totally disagree;Partially disagree;Neither nor;Partially agree;Totally agree,GG618,Mother,PLOC,"",PLOC03,Personality,ParentalLocusofControl,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross to indicate whether you agree or disagree with the following statements
2015,Bringing child child disagreement easy divert,Q06,Bringing up your child,If my child and i have a disagreement it is usually easy to divert him or her,Totally disagree;Partially disagree;Neither nor;Partially agree;Totally agree,GG619,Mother,PLOC,"",PLOC04,Personality,ParentalLocusofControl,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross to indicate whether you agree or disagree with the following statements
2016,Bringing child 5 life chiefly controlled child,Q06,Bringing up your child,5 my life is chiefly controlled by my child,Totally disagree;Partially disagree;Neither nor;Partially agree;Totally agree,GG620,Mother,PLOC,"",PLOC05,Personality,ParentalLocusofControl,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross to indicate whether you agree or disagree with the following statements
2017,Bringing child child learn deal,Q06,Bringing up your child,I think it is very important for my child to learn to deal with the fact he or she cannot get their own way on everything,Totally disagree;Partially disagree;Neither nor;Partially agree;Totally agree,GG621,Mother,PLOC,"",PLOC06,Personality,ParentalLocusofControl,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross to indicate whether you agree or disagree with the following statements
2018,Bringing child easier child tantrum,Q06,Bringing up your child,It is often easier to let my child have their own way than to put up with a tantrum,Totally disagree;Partially disagree;Neither nor;Partially agree;Totally agree,GG622,Mother,PLOC,"",PLOC07,Personality,ParentalLocusofControl,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross to indicate whether you agree or disagree with the following statements
2019,Bringing child im tired child allowed,Q06,Bringing up your child,Sometimes when im tired i let my child get to do things that i usually would not have allowed otherwise,Totally disagree;Partially disagree;Neither nor;Partially agree;Totally agree,GG623,Mother,PLOC,"",PLOC08,Personality,ParentalLocusofControl,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross to indicate whether you agree or disagree with the following statements
2020,Bringing child isnt strategies bring children love children develop,Q06,Bringing up your child,It isnt so important what strategies you use to bring up your children if you love your children they will develop well,Totally disagree;Partially disagree;Neither nor;Partially agree;Totally agree,GG624,Mother,PLOC,"",PLOC09,Personality,ParentalLocusofControl,Q63yrs,Ch03Y,GG,Mother,"",Enter a cross to indicate whether you agree or disagree with the following statements
2162,Temperament personal style extent statements apply childs behaviour month child cries easily,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child cries easily,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL276,Child,EAS,Activity,EAS01,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2163,Temperament personal style extent statements apply childs behaviour month child,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child is always on the go,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL277,Child,EAS,Activity,EAS02,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2164,Temperament personal style extent statements apply childs behaviour month child prefers playing,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child prefers playing with others rather than alone,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL278,Child,EAS,Activity,EAS03,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2165,Temperament personal style extent statements apply childs behaviour month child running wakes morning,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child is off and running as soon as he or she wakes up in the morning,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL279,Child,EAS,Emotionality,EAS04,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2166,Temperament personal style extent statements apply childs behaviour month child sociable,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child is very sociable,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL280,Child,EAS,Emotionality,EAS05,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2167,Temperament personal style extent statements apply childs behaviour month child takes time warm strangers,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child takes a long time to warm up to strangers,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL281,Child,EAS,Emotionality,EAS06,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2168,Temperament personal style extent statements apply childs behaviour month child upset sad easily,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child gets upset or sad easily,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL282,Child,EAS,Shyness,EAS07,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2169,Temperament personal style extent statements apply childs behaviour month child prefers quiet inactive games active,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child prefers quiet inactive games to more active ones,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL283,Child,EAS,Shyness,EAS08,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2170,Temperament personal style extent statements apply childs behaviour month child likes people,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child likes to be with people,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL284,Child,EAS,Shyness,EAS09,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2171,Temperament personal style extent statements apply childs behaviour month child reacts intensely upset,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child reacts intensely when upset,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL285,Child,EAS,Sociability,EAS10,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2172,Temperament personal style extent statements apply childs behaviour month child friendly strangers,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child is very friendly with strangers,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL286,Child,EAS,Sociability,EAS11,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2173,Temperament personal style extent statements apply childs behaviour month child other people fun,Q07,About temperament and personal style to what extent do the following statements apply to your childs behaviour during the last two month,Your child find other people more fun than anything else,Very typical;Quite typical;Neither nor;Not so typical;Not at all typical,LL287,Child,EAS,Sociability,EAS12,Temperament,EmotionalityActivityandShynessTemperamentQuestionnaire,Q5yrs,Ch05Y,LL,Mother,During the last two month,""
2175,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months afraid,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Afraid to try new things,Rarely or never;Sometimes;Often or typical,LL301,Child,CBCL,"",CBCL03,General,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2176,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months concentrate pay attention,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Cant concentrate cant pay attention for long,Rarely or never;Sometimes;Often or typical,LL302,Child,CBCL,Adhd,CBCL05,ADHD,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2179,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months sit restless overactive,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Cant sit still restless or overactive,Rarely or never;Sometimes;Often or typical,LL303,Child,CBCL,Adhd,CBCL06,ADHD,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2182,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months stand waiting,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Cant stand waiting wants everything now,Rarely or never;Sometimes;Often or typical,LL304,Child,CBCL,Adhd,CBCL08,ADHD,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2185,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months clings adults dependent,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Clings to adults or too dependent,Rarely or never;Sometimes;Often or typical,LL305,Child,CBCL,Internalizing,CBCL10,Emotion,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2187,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months cries lot,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Cries a lot,Rarely or never;Sometimes;Often or typical,LL306,Child,CBCL,"",CBCL13,General,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2188,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months defiant,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Defiant,Rarely or never;Sometimes;Often or typical,LL307,Child,CBCL,Externalizing,CBCL15,Behaviour,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2190,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months demands met immediately,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Demands must be met immediately,Rarely or never;Sometimes;Often or typical,LL308,Child,CBCL,Adhd,CBCL16,ADHD,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2193,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months disturbed change routine,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Disturbed by any change in routine,Rarely or never;Sometimes;Often or typical,LL309,Child,CBCL,Internalizing,CBCL21,Emotion,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2195,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months doesnt eat,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Doesnt eat well,Rarely or never;Sometimes;Often or typical,LL310,Child,CBCL,Internalizing,CBCL24,Emotion,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
2197,List statements describing childrens behavior manner age 5 features temporary continue period time extents statements true childs behavior months doesnt feel guilty misbehaving,Q07,The following list contains statements describing childrens behavior and manner from the age of 5 some of these features are temporary while others continue for a longer period of time to what extents are the following statements true of your childs behavior during the last two months,Doesnt seem to feel guilty after misbehaving,Rarely or never;Sometimes;Often or typical,LL311,Child,CBCL,Externalizing,CBCL27,Behaviour,ChildBehaviourCheckList,Q5yrs,Ch05Y,LL,Mother,During the last two months,""
